id,tide,year
47,21.0,2007
47,28.0,2008
47,26.0,2009
47,20.0,2010
47,23.0,2011
47,19.0,2012
47,7.0,2013
47,11.0,2014
47,25.0,2015
51,0.0,1985
51,-6.0,1986
51,1.0,1987
51,30.0,1988
51,44.0,1989
51,77.0,1990
51,108.0,1991
51,129.0,1992
51,151.0,1993
51,184.0,1994
51,206.0,1995
51,212.0,1996
51,223.0,1997
51,220.0,1998
51,223.0,1999
51,221.0,2000
51,159.33333333333334,2001
51,97.66666666666667,2002
51,36.0,2003
51,26.0,2004
51,62.0,2005
51,84.0,2006
51,103.0,2007
51,131.0,2008
51,158.0,2009
51,160.0,2010
51,162.0,2011
51,150.0,2012
51,129.0,2013
51,109.0,2014
51,94.0,2015
57,0.0,1985
57,-18.0,1986
57,-37.0,1987
57,-62.0,1988
57,-31.0,1989
57,-3.0,1990
57,-13.0,1991
57,1.0,1992
57,-15.0,1993
57,-51.0,1994
57,-73.0,1995
57,-101.0,1996
57,-121.0,1997
57,-117.0,1998
57,-123.0,1999
57,-155.0,2000
57,-137.0,2001
57,-147.0,2002
57,-174.0,2003
57,-161.0,2004
57,-149.0,2005
57,-154.0,2006
57,-128.0,2007
57,-113.0,2008
57,-138.0,2009
57,-173.0,2010
57,-164.0,2011
57,-184.0,2012
57,-216.0,2013
57,-228.0,2014
57,-188.0,2015
58,0.0,1985
58,-5.0,1986
58,-11.0,1987
58,-7.0,1988
58,14.0,1989
58,36.0,1990
58,32.0,1991
58,35.0,1992
58,22.0,1993
58,13.0,1994
58,-1.0,1995
58,-8.0,1996
58,-11.0,1997
58,-1.0,1998
58,4.0,1999
58,15.0,2000
58,27.0,2001
58,35.0,2002
58,29.0,2003
58,26.0,2004
58,18.0,2005
58,22.0,2006
58,22.0,2007
58,31.0,2008
58,31.0,2009
58,23.0,2010
58,29.0,2011
58,25.0,2012
58,12.0,2013
58,14.0,2014
58,29.0,2015
61,0.0,1985
61,5.0,1986
61,9.0,1987
61,8.0,1988
61,8.0,1989
61,9.0,1990
61,13.0,1991
61,1.0,1992
61,3.0,1993
61,6.0,1994
61,9.0,1995
61,19.0,1996
61,33.0,1997
61,27.0,1998
61,34.0,1999
61,40.0,2000
61,33.0,2001
61,36.0,2002
61,48.0,2003
61,54.0,2004
61,55.0,2005
61,56.0,2006
61,53.0,2007
61,56.0,2008
61,70.0,2009
61,113.0,2010
61,109.0,2011
61,119.0,2012
61,126.0,2013
61,135.0,2014
61,100.0,2015
62,0.0,1985
62,-17.0,1986
62,-42.0,1987
62,-57.0,1988
62,-28.0,1989
62,-9.0,1990
62,11.0,1991
62,25.0,1992
62,13.0,1993
62,-7.0,1994
62,-26.0,1995
62,-72.0,1996
62,-82.0,1997
62,-74.0,1998
62,-67.0,1999
62,-58.0,2000
62,-39.0,2001
62,-40.0,2002
62,-47.0,2003
62,-52.0,2004
62,-62.0,2005
62,-59.0,2006
62,-46.0,2007
62,-36.0,2008
62,-45.0,2009
62,-69.0,2010
62,-60.0,2011
62,-71.0,2012
62,-92.0,2013
62,-94.0,2014
62,-64.0,2015
69,0.0,1985
69,-18.0,1986
69,-23.0,1987
69,-39.0,1988
69,-12.0,1989
69,14.0,1990
69,8.0,1991
69,19.0,1992
69,6.0,1993
69,-19.0,1994
69,-33.0,1995
69,-49.0,1996
69,-57.0,1997
69,-43.0,1998
69,-41.0,1999
69,-45.0,2000
69,-25.0,2001
69,-26.0,2002
69,-41.0,2003
69,-36.0,2004
69,-39.0,2005
69,-45.0,2006
69,-20.0,2007
69,-2.0,2008
69,-20.0,2009
69,-34.0,2010
69,-28.0,2011
69,-41.0,2012
69,-65.0,2013
69,-73.0,2014
69,-49.0,2015
70,0.0,1985
70,-16.0,1986
70,-17.0,1987
70,-28.0,1988
70,-1.0,1989
70,22.0,1990
70,19.0,1991
70,29.0,1992
70,15.0,1993
70,-6.0,1994
70,-16.0,1995
70,-35.0,1996
70,-43.0,1997
70,-30.0,1998
70,-29.0,1999
70,-35.0,2000
70,-10.0,2001
70,-7.0,2002
70,-21.0,2003
70,-14.0,2004
70,-16.0,2005
70,-21.0,2006
70,4.0,2007
70,21.0,2008
70,10.0,2009
70,3.0,2010
70,12.0,2011
70,0.0,2012
70,-17.0,2013
70,-24.0,2014
70,-6.0,2015
71,0.0,1985
71,-12.0,1986
71,-18.0,1987
71,-32.0,1988
71,7.0,1989
71,47.0,1990
71,37.0,1991
71,53.0,1992
71,37.0,1993
71,-1.0,1994
71,-23.0,1995
71,-54.0,1996
71,-69.0,1997
71,-76.0,1998
71,-83.0,1999
71,-124.0,2000
71,-42.0,2001
71,-36.666666666666664,2002
71,-31.333333333333336,2003
71,-26.0,2004
71,-37.0,2005
71,-56.0,2006
71,-27.0,2007
71,-21.0,2008
71,-41.0,2009
71,-65.0,2010
71,-54.0,2011
71,-69.0,2012
71,-98.0,2013
71,-109.0,2014
71,-72.0,2015
76,0.0,1985
76,1.0,1986
76,-5.0,1987
76,-8.0,1988
76,17.0,1989
76,43.0,1990
76,34.0,1991
76,40.0,1992
76,29.0,1993
76,9.0,1994
76,1.0,1995
76,-3.0,1996
76,-2.0,1997
76,7.0,1998
76,17.0,1999
76,17.0,2000
76,35.0,2001
76,44.0,2002
76,44.0,2003
76,48.0,2004
76,54.0,2005
76,55.0,2006
76,65.0,2007
76,74.0,2008
76,70.0,2009
76,66.0,2010
76,67.0,2011
76,58.0,2012
78,0.0,1985
78,-19.0,1986
78,-28.0,1987
78,-47.0,1988
